term,mp_id,mp_term_key,name,club,professions,profession_raw,profession_clean,profession_group,profession_group_web
8,502,8-502,Agnieszka Soin,PiS,manager,manager,manager,Biznes i finanse,Biznes i finanse
8,95,8-95,Andrzej Gawron,PiS,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
8,119,8-119,Andrzej Halicki,PO-KO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
8,141,8-141,Andrzej Jaworski,PiS,menadżer,menadżer,menadżer,Biznes i finanse,Biznes i finanse
8,162,8-162,Andrzej Kobylarz,Kukiz15,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
8,177,8-177,Andrzej Kosztowniak,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
8,259,8-259,Andżelika Możdżanowska,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
8,63,8-63,Anna Czech,PiS,menadżer ochrony zdrowia,menadżer ochrony zdrowia,menadżer ochrony zdrowia,Biznes i finanse,Biznes i finanse
8,204,8-204,Anna Kwiecień,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
8,234,8-234,Arkadiusz Marchewka,PO-KO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
8,81,8-81,Barbara Dziuk,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
8,148,8-148,Bożena Kamińska,PO-KO,ekonomistka,ekonomistka,ekonomistka,Biznes i finanse,Biznes i finanse
8,290,8-290,Błażej Parda,Kukiz15,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
8,355,8-355,Czesław Sobierajski,PiS,menedżer,menedżer,menedżer,Biznes i finanse,Biznes i finanse
8,7,8-7,Dorota Arciszewska-Mielewczyk,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
8,505,8-505,Edyta Kubik,niez.,księgowa,księgowa,księgowa,Biznes i finanse,Biznes i finanse
8,73,8-73,Elżbieta Duda,PiS,pracownik do spraw ubezpieczeń,pracownik do spraw ubezpieczeń,pracownik do spraw ubezpieczeń,Biznes i finanse,Biznes i finanse
8,97,8-97,Elżbieta Gelert,PO-KO,menadżer,menadżer,menadżer,Biznes i finanse,Biznes i finanse
8,366,8-366,Elżbieta Stępień,PO-KO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
8,181,8-181,Ewa Kozanecka,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
8,215,8-215,Ewa Lieder,PO-KO,ekonomistka,ekonomistka,ekonomistka,Biznes i finanse,Biznes i finanse
8,387,8-387,Ewa Szymańska,PiS,biegły rewident,biegły rewident,biegły rewident,Biznes i finanse,Biznes i finanse
8,235,8-235,Gabriela Masłowska,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
8,314,8-314,Grzegorz Puda,PiS,kierownik działu marketingu,kierownik działu marketingu,kierownik działu marketingu,Biznes i finanse,Biznes i finanse
8,400,8-400,Grzegorz Tobiszowski,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
8,481,8-481,Iwona Krawczyk,PO-KO,"urzędnik samorządowy, menedżer",menedżer,menedżer,Biznes i finanse,Biznes i finanse
8,262,8-262,Izabela Katarzyna Mrzygłocka,PO-KO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
